LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,PDP % of searches,A2C % of searches,ORDER % of searches
Bags and Travel,22451.0,10195.0,2132.0,737.0,4664.319999999998,385.10999999999996,439.34,15087357.0,55432.0,2954.6699999999996,671.2200000000003,255.97000000000003
Bedding & Bath,5278.0,2805.0,959.0,399.0,2631.55,131.39,157.86999999999998,10864810.0,15102.0,1165.41,409.58,175.18
Cameras,7098.0,3121.0,908.0,306.0,2615.0299999999997,257.37,347.30000000000007,7014377.0,12343.0,1140.7000000000003,317.87000000000006,105.11000000000001
Computers & Laptops,16002.0,7123.0,1878.0,507.0,9508.68,3935.740000000001,4684.070000000001,14837240.0,31181.0,2640.3,673.08,179.03000000000011
Digital Goods,8284.0,4742.0,3181.0,2413.0,371.66999999999996,51.78999999999999,53.87,3401842.0,5689.0,1109.38,588.29,376.53999999999996
Fashion,123925.0,49541.0,8448.0,2622.0,19740.759999999966,2245.5500000000006,2757.1,105819337.0,253734.0,14218.440000000006,2345.2599999999975,737.5900000000007
Furniture & Decor,34330.0,17010.0,4862.0,2036.0,27493.46,3411.79,3714.6600000000003,48645527.0,93469.0,5717.2699999999995,1563.3099999999995,611.7899999999997
Groceries,28845.0,15011.0,7980.0,3403.0,55886.40999999999,1003.99,1558.5200000000002,8823141.0,39054.0,4644.8099999999995,2367.390000000001,922.93
Health & Beauty,116013.0,53065.0,19581.0,7583.0,39221.16999999998,1463.2000000000012,1788.8000000000002,64833205.0,209884.0,16964.569999999996,6322.830000000003,2469.270000000001
Home Appliances,40636.0,20501.0,5628.0,1963.0,177704.34999999995,12533.280000000002,14686.100000000006,9375354.0,77667.0,6061.1399999999985,1564.9599999999998,539.4999999999998
Kitchen & Dining,21025.0,9498.0,2990.0,1122.0,5560.019999999999,343.15000000000003,482.9899999999996,16386577.0,51640.0,2925.4999999999995,877.4500000000003,321.83
Laundry & Cleaning,3183.0,1579.0,573.0,241.0,1209.9500000000003,75.4,83.86000000000001,1214063.0,8781.0,638.5799999999999,243.92,103.6
Media Music & Books,1031.0,403.0,73.0,18.0,853.4,62.55,63.949999999999996,1205358.0,2479.0,110.32,18.93,3.84
Medicine,1203.0,541.0,116.0,26.0,4385.35,566.2900000000001,572.71,40363.0,2651.0,267.48999999999995,56.21,12.7
Mobiles & Tablets,94596.0,38358.0,10395.0,2615.0,586913.91,30321.370000000014,42517.24000000001,208325066.0,116306.0,11126.42,3093.4800000000005,818.29
Mother & Baby,10157.0,3940.0,1277.0,471.0,10901.060000000003,417.0799999999999,623.1899999999998,6013403.0,22662.0,1735.55,558.8599999999999,202.0
Motors,18303.0,6472.0,1635.0,375.0,46217.64000000001,7052.61,9780.520000000004,11039547.0,35171.0,2045.6800000000003,541.4099999999999,134.45
Pet Supplies,1904.0,804.0,316.0,167.0,1034.23,29.009999999999998,31.739999999999995,969524.0,3577.0,318.32,117.71000000000001,61.49
Sports & Outdoors,18001.0,8758.0,2246.0,781.0,6453.020000000001,721.13,795.4700000000003,4913980.0,40071.0,3056.4700000000007,811.0400000000002,295.3500000000001
Stationery & Craft,13060.0,5664.0,1517.0,443.0,2098.92,183.48999999999998,215.34,10159529.0,29757.0,2330.189999999999,646.5600000000001,195.51
"TV, Audio / Video, Gaming & Wearables",74464.0,35083.0,10966.0,3669.0,68615.45999999999,7211.629999999998,8483.460000000001,34370311.0,132559.0,8993.890000000001,2872.1400000000026,1004.08
"Tools, DIY & Outdoor",6656.0,2805.0,1041.0,469.0,2939.53,392.8499999999999,418.90999999999985,10783610.0,19808.0,1098.0599999999997,364.26000000000005,153.22000000000003
Toys & Games,33095.0,14871.0,4998.0,2647.0,5691.380000000002,795.5899999999997,1103.6399999999999,20239123.0,62261.0,4453.7300000000005,1314.4200000000003,577.59
Watches Sunglasses Jewellery,50124.0,22071.0,5802.0,1782.0,8937.580000000002,671.11,799.5300000000001,71332351.0,116748.0,6456.000000000003,1727.1100000000004,550.2499999999999
