LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,PDP % of searches,A2C % of searches,ORDER % of searches
Furniture & Decor,34330.0,17010.0,4862.0,2036.0,27493.46,3411.79,3714.6600000000003,48645527.0,93469.0,5717.2699999999995,1563.3099999999995,611.7899999999997
Toys & Games,33095.0,14871.0,4998.0,2647.0,5691.380000000002,795.5899999999997,1103.6399999999999,20239123.0,62261.0,4453.7300000000005,1314.4200000000003,577.59
Kitchen & Dining,21025.0,9498.0,2990.0,1122.0,5560.019999999999,343.15000000000003,482.9899999999996,16386577.0,51640.0,2925.4999999999995,877.4500000000003,321.83
Motors,18303.0,6472.0,1635.0,375.0,46217.64000000001,7052.61,9780.520000000004,11039547.0,35171.0,2045.6800000000003,541.4099999999999,134.45
Sports & Outdoors,18001.0,8758.0,2246.0,781.0,6453.020000000001,721.13,795.4700000000003,4913980.0,40071.0,3056.4700000000007,811.0400000000002,295.3500000000001
Stationery & Craft,13060.0,5664.0,1517.0,443.0,2098.92,183.48999999999998,215.34,10159529.0,29757.0,2330.189999999999,646.5600000000001,195.51
"Tools, DIY & Outdoor",6656.0,2805.0,1041.0,469.0,2939.53,392.8499999999999,418.90999999999985,10783610.0,19808.0,1098.0599999999997,364.26000000000005,153.22000000000003
Bedding & Bath,5278.0,2805.0,959.0,399.0,2631.55,131.39,157.86999999999998,10864810.0,15102.0,1165.41,409.58,175.18
Laundry & Cleaning,3183.0,1579.0,573.0,241.0,1209.9500000000003,75.4,83.86000000000001,1214063.0,8781.0,638.5799999999999,243.92,103.6
Media Music & Books,1031.0,403.0,73.0,18.0,853.4,62.55,63.949999999999996,1205358.0,2479.0,110.32,18.93,3.84
