,Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,PDP % of searches,A2C % of searches,ORDER % of searches
0,mens winter,Fashion,5248.0,1759.0,275.0,58.0,468.02,7.31,8.07,183545.0,538.0,Fashion,33.52,5.24,1.11
1,jacket for men,Fashion,4144.0,1802.0,183.0,47.0,564.15,11.28,12.0,29271.0,2560.0,Fashion,43.48,4.42,1.13
2,watch,Watches Sunglasses Jewellery,3631.0,1377.0,397.0,95.0,443.26,4.18,4.67,2318527.0,1485.0,Fashion,37.92,10.93,2.62
3,air buds,"TV, Audio / Video, Gaming & Wearables",3248.0,1515.0,394.0,114.0,1194.09,9.55,10.47,82629.0,2175.0,EL,46.64,12.13,3.51
4,12 12 sale products,Mobiles & Tablets,2945.0,967.0,127.0,4.0,13.39,3.35,3.35,22685.0,1532.0,EL,32.84,4.31,0.14
5,make up,Health & Beauty,2562.0,1174.0,377.0,102.0,402.21,2.5,3.94,6140205.0,1492.0,FMCG,45.82,14.72,3.98
6,hair dryer,Health & Beauty,2559.0,878.0,310.0,111.0,829.69,7.15,7.47,30312.0,1589.0,FMCG,34.31,12.11,4.34
7,mobile,Mobiles & Tablets,2558.0,776.0,169.0,14.0,2916.53,138.88,208.32,6106536.0,696.0,EL,30.34,6.61,0.55
8,kitchen accessories,Kitchen & Dining,2498.0,1300.0,467.0,142.0,472.99,2.04,3.33,812844.0,1554.0,GM,52.04,18.69,5.68
9,shoes,Fashion,2486.0,942.0,151.0,42.0,332.13,6.51,7.91,757326.0,1961.0,Fashion,37.89,6.07,1.69
10,cooking oil,Groceries,2402.0,802.0,361.0,76.0,2569.51,25.19,33.81,36964.0,1107.0,FMCG,33.39,15.03,3.16
11,smart watch,"TV, Audio / Video, Gaming & Wearables",2359.0,1390.0,394.0,126.0,1858.43,12.31,14.75,145622.0,2112.0,EL,58.92,16.7,5.34
12,ring for men,Watches Sunglasses Jewellery,2274.0,686.0,202.0,76.0,168.13,1.85,2.21,100078.0,1006.0,Fashion,30.17,8.88,3.34
13,ear buds,"TV, Audio / Video, Gaming & Wearables",2123.0,1168.0,362.0,110.0,936.91,8.08,8.52,74988.0,1543.0,EL,55.02,17.05,5.18
14,head phones,"TV, Audio / Video, Gaming & Wearables",2109.0,735.0,245.0,77.0,404.4,4.81,5.25,451862.0,1205.0,EL,34.85,11.62,3.65
15,airpods,"TV, Audio / Video, Gaming & Wearables",2098.0,1088.0,345.0,121.0,816.55,6.43,6.75,15401.0,879.0,EL,51.86,16.44,5.77
16,wall clock,Furniture & Decor,1973.0,1269.0,575.0,332.0,1342.79,3.32,4.04,56217.0,1730.0,GM,64.32,29.14,16.83
17,one rupee games,Toys & Games,1913.0,1064.0,1006.0,941.0,41.27,0.01,0.04,45.0,44.0,GM,55.62,52.59,49.19
18,winter caps for men,Fashion,1841.0,474.0,154.0,66.0,291.61,3.99,4.42,63082.0,855.0,Fashion,25.75,8.37,3.59
19,1 rupee game offer,Digital Goods,1818.0,1494.0,1394.0,1168.0,27.98,0.01,0.02,12.0,12.0,Digital Goods,82.18,76.68,64.25
20,power bank,Mobiles & Tablets,1818.0,1048.0,360.0,124.0,1063.74,8.0,8.58,36974.0,788.0,EL,57.65,19.8,6.82
21,iphone,Mobiles & Tablets,1814.0,714.0,143.0,4.0,6149.84,1537.46,1537.46,540970.0,522.0,EL,39.36,7.88,0.22
22,socks,Fashion,1780.0,508.0,175.0,69.0,231.78,2.27,3.36,96405.0,655.0,Fashion,28.54,9.83,3.88
23,toys,Toys & Games,1723.0,696.0,110.0,22.0,70.83,2.83,3.22,1662142.0,1436.0,GM,40.39,6.38,1.28
24,chopsticks,Kitchen & Dining,1688.0,506.0,212.0,78.0,118.78,1.41,1.52,18570.0,800.0,GM,29.98,12.56,4.62
25,door dust stopper,"Tools, DIY & Outdoor",1654.0,669.0,372.0,200.0,525.53,2.26,2.63,5599.0,628.0,GM,40.45,22.49,12.09
26,waches for boys,Watches Sunglasses Jewellery,1649.0,724.0,200.0,53.0,209.81,3.89,3.96,209885.0,1178.0,Fashion,43.91,12.13,3.21
27,makeup,Health & Beauty,1633.0,789.0,267.0,70.0,250.11,2.27,3.57,1622604.0,2951.0,FMCG,48.32,16.35,4.29
28,track suit for men,Fashion,1611.0,820.0,154.0,54.0,647.7,10.28,11.99,5822.0,1305.0,Fashion,50.9,9.56,3.35
29,lipstick,Health & Beauty,1576.0,903.0,335.0,129.0,375.75,2.38,2.91,58140.0,1054.0,FMCG,57.3,21.26,8.19
30,hand bag for girls,Bags and Travel,1573.0,738.0,115.0,42.0,361.31,7.08,8.6,127835.0,1490.0,Fashion,46.92,7.31,2.67
31,jewellery for girls,Watches Sunglasses Jewellery,1570.0,751.0,155.0,32.0,91.44,2.23,2.86,537363.0,1210.0,Fashion,47.83,9.87,2.04
32,iphone 13 pro max,Mobiles & Tablets,1565.0,879.0,238.0,19.0,19281.02,741.58,1014.79,14128.0,1158.0,EL,56.17,15.21,1.21
33,electric heater,Home Appliances,1563.0,458.0,130.0,70.0,793.64,9.12,11.34,19909.0,745.0,EL,29.3,8.32,4.48
34,12 12 sale,Mobiles & Tablets,1491.0,367.0,26.0,1.0,2.89,2.89,2.89,22685.0,1192.0,EL,24.61,1.74,0.07
35,washing machine,Home Appliances,1439.0,714.0,201.0,46.0,7358.03,144.28,159.96,176293.0,1174.0,EL,49.62,13.97,3.2
36,airpods pro,"TV, Audio / Video, Gaming & Wearables",1429.0,613.0,131.0,37.0,442.49,11.35,11.96,5135.0,601.0,EL,42.9,9.17,2.59
38,silicon heel pad,Health & Beauty,1411.0,271.0,152.0,79.0,151.81,1.74,1.92,6092.0,600.0,FMCG,19.21,10.77,5.6
37,handfree,"TV, Audio / Video, Gaming & Wearables",1411.0,808.0,393.0,123.0,350.35,2.56,2.85,330794.0,1151.0,EL,57.26,27.85,8.72
39,infinix,Mobiles & Tablets,1382.0,634.0,242.0,57.0,26973.78,170.72,473.22,74818.0,362.0,EL,45.88,17.51,4.12
40,perfume for men,Health & Beauty,1370.0,653.0,269.0,115.0,545.78,3.37,4.75,114895.0,1939.0,FMCG,47.66,19.64,8.39
41,car,Motors,1341.0,463.0,54.0,2.0,5.94,2.97,2.97,2146266.0,1003.0,GM,34.53,4.03,0.15
42,pop it fidget toy,Toys & Games,1335.0,647.0,251.0,101.0,388.24,3.03,3.84,10891.0,878.0,GM,48.46,18.8,7.57
43,jacket,Fashion,1318.0,344.0,51.0,6.0,62.98,10.5,10.5,142895.0,1092.0,Fashion,26.1,3.87,0.46
45,bluetooth earphone,"TV, Audio / Video, Gaming & Wearables",1307.0,700.0,252.0,85.0,647.67,7.12,7.62,99828.0,1340.0,EL,53.56,19.28,6.5
44,bag for girls,Bags and Travel,1307.0,569.0,92.0,28.0,183.71,5.93,6.56,120412.0,1279.0,Fashion,43.53,7.04,2.14
46,popit,Toys & Games,1284.0,658.0,205.0,62.0,261.14,3.26,4.21,9103.0,664.0,GM,51.25,15.97,4.83
47,bra for girls,Fashion,1272.0,582.0,143.0,57.0,223.86,3.24,3.93,27779.0,1122.0,Fashion,45.75,11.24,4.48
48,night dress for girls,Fashion,1244.0,429.0,84.0,36.0,241.47,6.19,6.71,10084.0,1115.0,Fashion,34.49,6.75,2.89
49,earbuds,"TV, Audio / Video, Gaming & Wearables",1243.0,613.0,172.0,61.0,769.62,10.99,12.62,78187.0,2180.0,EL,49.32,13.84,4.91
50,bat,Sports & Outdoors,1240.0,720.0,151.0,32.0,167.15,4.64,5.22,22131.0,1127.0,GM,58.06,12.18,2.58
51,iron,Home Appliances,1232.0,731.0,285.0,100.0,1334.72,12.47,13.35,370750.0,1021.0,EL,59.33,23.13,8.12
52,rings,Watches Sunglasses Jewellery,1212.0,571.0,164.0,53.0,142.77,2.34,2.69,953505.0,1021.0,Fashion,47.11,13.53,4.37
53,condom,Health & Beauty,1178.0,487.0,146.0,61.0,280.48,3.64,4.6,1422.0,617.0,FMCG,41.34,12.39,5.18
54,rings for girls,Watches Sunglasses Jewellery,1158.0,633.0,133.0,33.0,80.23,2.29,2.43,59713.0,1020.0,Fashion,54.66,11.49,2.85
56,vape,Computers & Laptops,1157.0,151.0,7.0,1.0,2.16,2.16,2.16,88.0,89.0,EL,13.05,0.61,0.09
55,coffee beater,Kitchen & Dining,1157.0,728.0,297.0,163.0,447.6,2.68,2.75,22333.0,1153.0,GM,62.92,25.67,14.09
57,dawlance,Home Appliances,1133.0,384.0,132.0,59.0,13665.7,140.88,231.62,2230.0,818.0,EL,33.89,11.65,5.21
58,mask,Health & Beauty,1128.0,227.0,47.0,6.0,17.73,2.53,2.95,177368.0,611.0,FMCG,20.12,4.17,0.53
59,ear buds wireless,"TV, Audio / Video, Gaming & Wearables",1118.0,522.0,136.0,35.0,278.89,7.15,7.97,68554.0,2567.0,EL,46.69,12.16,3.13
60,sweaters for women,Fashion,1105.0,473.0,52.0,19.0,194.19,8.83,10.22,63185.0,1093.0,Fashion,42.81,4.71,1.72
61,hoodie for men,Fashion,1103.0,639.0,152.0,64.0,452.42,6.03,7.07,40251.0,1016.0,Fashion,57.93,13.78,5.8
63,sex doll toy for men,Health & Beauty,1098.0,200.0,13.0,2.0,6.02,3.01,3.01,6696.0,630.0,FMCG,18.21,1.18,0.18
62,iphone 11 pro max,Mobiles & Tablets,1098.0,400.0,56.0,1.0,1279.62,1279.62,1279.62,541110.0,382.0,EL,36.43,5.1,0.09
64,air pods,"TV, Audio / Video, Gaming & Wearables",1094.0,487.0,146.0,52.0,316.19,5.55,6.08,15402.0,990.0,EL,44.52,13.35,4.75
65,bra,Fashion,1088.0,454.0,65.0,25.0,86.15,2.97,3.45,98845.0,1100.0,Fashion,41.73,5.97,2.3
66,make up box for girls,Health & Beauty,1082.0,301.0,32.0,7.0,22.46,2.81,3.21,9856.0,948.0,FMCG,27.82,2.96,0.65
67,air buds pro,"TV, Audio / Video, Gaming & Wearables",1075.0,410.0,92.0,24.0,222.28,8.89,9.26,2048.0,512.0,EL,38.14,8.56,2.23
68,nokia,Mobiles & Tablets,1074.0,583.0,240.0,63.0,8165.08,83.32,129.6,53999.0,635.0,EL,54.28,22.35,5.87
69,baby accessories,Mother & Baby,1053.0,419.0,105.0,28.0,91.2,2.46,3.26,543150.0,1130.0,FMCG,39.79,9.97,2.66
70,mobile phones,Mobiles & Tablets,1053.0,297.0,42.0,8.0,793.84,99.23,99.23,6086005.0,749.0,EL,28.21,3.99,0.76
71,toys for boys,Toys & Games,1044.0,379.0,56.0,14.0,43.19,3.09,3.09,178066.0,1020.0,GM,36.3,5.36,1.34
72,bags,Bags and Travel,1028.0,356.0,58.0,18.0,134.01,7.44,7.44,1680441.0,1085.0,Fashion,34.63,5.64,1.75
73,hair straightener,Health & Beauty,1021.0,506.0,187.0,66.0,394.56,5.72,5.98,32128.0,1509.0,FMCG,49.56,18.32,6.46
74,jacket for boys,Fashion,1010.0,372.0,38.0,6.0,67.76,11.29,11.29,32942.0,918.0,Fashion,36.83,3.76,0.59
75,coat for men,Fashion,998.0,417.0,53.0,7.0,69.5,8.69,9.93,33651.0,986.0,Fashion,41.78,5.31,0.7
76,oppo,"TV, Audio / Video, Gaming & Wearables",988.0,261.0,50.0,5.0,613.52,122.7,122.7,290105.0,346.0,EL,26.42,5.06,0.51
77,watches,Watches Sunglasses Jewellery,981.0,414.0,86.0,26.0,185.6,5.99,7.14,2321425.0,855.0,Fashion,42.2,8.77,2.65
78,handsfree,"TV, Audio / Video, Gaming & Wearables",976.0,520.0,285.0,119.0,331.54,2.53,2.79,330795.0,982.0,EL,53.28,29.2,12.19
79,bts accessories for girls,Mobiles & Tablets,967.0,281.0,23.0,5.0,40.57,5.8,8.11,2571.0,477.0,EL,29.06,2.38,0.52
80,maybelline,Health & Beauty,949.0,357.0,112.0,34.0,305.16,5.26,8.98,495.0,490.0,FMCG,37.62,11.8,3.58
81,vape shisha smoke pen,Motors,948.0,147.0,10.0,2.0,3.91,1.95,1.95,24290.0,599.0,GM,15.51,1.05,0.21
82,mask for girls,Health & Beauty,947.0,467.0,101.0,24.0,53.17,2.04,2.22,162108.0,772.0,FMCG,49.31,10.67,2.53
83,hair dryer for women,Health & Beauty,947.0,503.0,170.0,64.0,483.14,7.43,7.55,3077.0,425.0,FMCG,53.12,17.95,6.76
84,ariel,Groceries,945.0,614.0,490.0,289.0,2226.54,3.66,7.7,1681.0,280.0,FMCG,64.97,51.85,30.58
