Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,,
mens winter,Fashion,5248.00,1759.00,275.00,58.00,468.02,7.31,8.07,183545.00,538.00,Fashion,,
jacket for men,Fashion,4144.00,1802.00,183.00,47.00,564.15,11.28,12.00,29271.00,2560.00,Fashion,,
watch,Watches Sunglasses Jewellery,3631.00,1377.00,397.00,95.00,443.26,4.18,4.67,2318527.00,1485.00,Fashion,,
air buds,TV Audio Video Gaming & Wearables,3248.00,1515.00,394.00,114.00,1194.09,9.55,10.47,82629.00,2175.00,EL,,
12 12 sale products,Mobiles & Tablets,2945.00,967.00,127.00,4.00,13.39,3.35,3.35,22685.00,1532.00,EL,,
make up,Health & Beauty,2562.00,1174.00,377.00,102.00,402.21,2.50,3.94,6140205.00,1492.00,FMCG,,
hair dryer,Health & Beauty,2559.00,878.00,310.00,111.00,829.69,7.15,7.47,30312.00,1589.00,FMCG,,
mobile,Mobiles & Tablets,2558.00,776.00,169.00,14.00,2916.53,138.88,208.32,6106536.00,696.00,EL,,
kitchen accessories,Kitchen & Dining,2498.00,1300.00,467.00,142.00,472.99,2.04,3.33,812844.00,1554.00,GM,,
shoes,Fashion,2486.00,942.00,151.00,42.00,332.13,6.51,7.91,757326.00,1961.00,Fashion,,
cooking oil,Groceries,2402.00,802.00,361.00,76.00,2569.51,25.19,33.81,36964.00,1107.00,FMCG,,
smart watch,TV Audio Video Gaming & Wearables,2359.00,1390.00,394.00,126.00,1858.43,12.31,14.75,145622.00,2112.00,EL,,
ring for men,Watches Sunglasses Jewellery,2274.00,686.00,202.00,76.00,168.13,1.85,2.21,100078.00,1006.00,Fashion,,
ear buds,TV Audio Video Gaming & Wearables,2123.00,1168.00,362.00,110.00,936.91,8.08,8.52,74988.00,1543.00,EL,,
head phones,"TV, Audio / Video, Gaming & Wearables",2109.00,735.00,245.00,77.00,404.40,4.81,5.25,451862.00,1205.00,EL,,
airpods,TV Audio Video Gaming & Wearables,2098.00,1088.00,345.00,121.00,816.55,6.43,6.75,15401.00,879.00,EL,,
wall clock,Furniture & Décor,1973.00,1269.00,575.00,332.00,1342.79,3.32,4.04,56217.00,1730.00,GM,,
one rupee games,Toys & Games,1913.00,1064.00,1006.00,941.00,41.27,0.01,0.04,45.00,44.00,GM,,
winter caps for men,Fashion,1841.00,474.00,154.00,66.00,291.61,3.99,4.42,63082.00,855.00,Fashion,,
1 rupee game offer,Digital Goods,1818.00,1494.00,1394.00,1168.00,27.98,0.01,0.02,12.00,12.00,Digital Goods,,
power bank,Mobiles & Tablets,1818.00,1048.00,360.00,124.00,1063.74,8.00,8.58,36974.00,788.00,EL,,
iphone,Mobiles & Tablets,1814.00,714.00,143.00,4.00,6149.84,1537.46,1537.46,540970.00,522.00,EL,,
socks,Fashion,1780.00,508.00,175.00,69.00,231.78,2.27,3.36,96405.00,655.00,Fashion,,
toys,Toys & Games,1723.00,696.00,110.00,22.00,70.83,2.83,3.22,1662142.00,1436.00,GM,,
chopsticks,Kitchen & Dining,1688.00,506.00,212.00,78.00,118.78,1.41,1.52,18570.00,800.00,GM,,
door dust stopper,Tools DIY & Outdoor,1654.00,669.00,372.00,200.00,525.53,2.26,2.63,5599.00,628.00,GM,,
waches for boys,Watches Sunglasses Jewellery,1649.00,724.00,200.00,53.00,209.81,3.89,3.96,209885.00,1178.00,Fashion,,
makeup,Health & Beauty,1633.00,789.00,267.00,70.00,250.11,2.27,3.57,1622604.00,2951.00,FMCG,,
track suit for men,Fashion,1611.00,820.00,154.00,54.00,647.70,10.28,11.99,5822.00,1305.00,Fashion,,
lipstick,Health & Beauty,1576.00,903.00,335.00,129.00,375.75,2.38,2.91,58140.00,1054.00,FMCG,,
hand bag for girls,Bags and Travel,1573.00,738.00,115.00,42.00,361.31,7.08,8.60,127835.00,1490.00,Fashion,,
jewellery for girls,Watches Sunglasses Jewellery,1570.00,751.00,155.00,32.00,91.44,2.23,2.86,537363.00,1210.00,Fashion,,
iphone 13 pro max,Mobiles & Tablets,1565.00,879.00,238.00,19.00,19281.02,741.58,1014.79,14128.00,1158.00,EL,,
electric heater,Home Appliances,1563.00,458.00,130.00,70.00,793.64,9.12,11.34,19909.00,745.00,EL,,
12 12 sale,Mobiles & Tablets,1491.00,367.00,26.00,1.00,2.89,2.89,2.89,22685.00,1192.00,EL,,
washing machine,Home Appliances,1439.00,714.00,201.00,46.00,7358.03,144.28,159.96,176293.00,1174.00,EL,,
airpods pro,TV Audio Video Gaming & Wearables,1429.00,613.00,131.00,37.00,442.49,11.35,11.96,5135.00,601.00,EL,,
handfree,TV Audio Video Gaming & Wearables,1411.00,808.00,393.00,123.00,350.35,2.56,2.85,330794.00,1151.00,EL,,
silicon heel pad,Health & Beauty,1411.00,271.00,152.00,79.00,151.81,1.74,1.92,6092.00,600.00,FMCG,,
infinix,Mobiles & Tablets,1382.00,634.00,242.00,57.00,26973.78,170.72,473.22,74818.00,362.00,EL,,
perfume for men,Health & Beauty,1370.00,653.00,269.00,115.00,545.78,3.37,4.75,114895.00,1939.00,FMCG,,
car,Motors,1341.00,463.00,54.00,2.00,5.94,2.97,2.97,2146266.00,1003.00,GM,,
pop it fidget toy,Toys & Games,1335.00,647.00,251.00,101.00,388.24,3.03,3.84,10891.00,878.00,GM,,
jacket,Fashion,1318.00,344.00,51.00,6.00,62.98,10.50,10.50,142895.00,1092.00,Fashion,,
bag for girls,Bags and Travel,1307.00,569.00,92.00,28.00,183.71,5.93,6.56,120412.00,1279.00,Fashion,,
bluetooth earphone,TV Audio Video Gaming & Wearables,1307.00,700.00,252.00,85.00,647.67,7.12,7.62,99828.00,1340.00,EL,,
popit,Toys & Games,1284.00,658.00,205.00,62.00,261.14,3.26,4.21,9103.00,664.00,GM,,
bra for girls,Fashion,1272.00,582.00,143.00,57.00,223.86,3.24,3.93,27779.00,1122.00,Fashion,,
night dress for girls,Fashion,1244.00,429.00,84.00,36.00,241.47,6.19,6.71,10084.00,1115.00,Fashion,,
earbuds,TV Audio Video Gaming & Wearables,1243.00,613.00,172.00,61.00,769.62,10.99,12.62,78187.00,2180.00,EL,,
bat,Sports & Outdoors,1240.00,720.00,151.00,32.00,167.15,4.64,5.22,22131.00,1127.00,GM,,
iron,Home Appliances,1232.00,731.00,285.00,100.00,1334.72,12.47,13.35,370750.00,1021.00,EL,,
rings,Watches Sunglasses Jewellery,1212.00,571.00,164.00,53.00,142.77,2.34,2.69,953505.00,1021.00,Fashion,,
condom,Health & Beauty,1178.00,487.00,146.00,61.00,280.48,3.64,4.60,1422.00,617.00,FMCG,,
rings for girls,Watches Sunglasses Jewellery,1158.00,633.00,133.00,33.00,80.23,2.29,2.43,59713.00,1020.00,Fashion,,
coffee beater,Kitchen & Dining,1157.00,728.00,297.00,163.00,447.60,2.68,2.75,22333.00,1153.00,GM,,
vape,Computers & Laptops,1157.00,151.00,7.00,1.00,2.16,2.16,2.16,88.00,89.00,EL,,
dawlance,Home Appliances,1133.00,384.00,132.00,59.00,13665.70,140.88,231.62,2230.00,818.00,EL,,
mask,Health & Beauty,1128.00,227.00,47.00,6.00,17.73,2.53,2.95,177368.00,611.00,FMCG,,
ear buds wireless,TV Audio Video Gaming & Wearables,1118.00,522.00,136.00,35.00,278.89,7.15,7.97,68554.00,2567.00,EL,,
sweaters for women,Fashion,1105.00,473.00,52.00,19.00,194.19,8.83,10.22,63185.00,1093.00,Fashion,,
hoodie for men,Fashion,1103.00,639.00,152.00,64.00,452.42,6.03,7.07,40251.00,1016.00,Fashion,,
iphone 11 pro max,Mobiles & Tablets,1098.00,400.00,56.00,1.00,1279.62,1279.62,1279.62,541110.00,382.00,EL,,
sex doll toy for men,Health & Beauty,1098.00,200.00,13.00,2.00,6.02,3.01,3.01,6696.00,630.00,FMCG,,
air pods,TV Audio Video Gaming & Wearables,1094.00,487.00,146.00,52.00,316.19,5.55,6.08,15402.00,990.00,EL,,
bra,Fashion,1088.00,454.00,65.00,25.00,86.15,2.97,3.45,98845.00,1100.00,Fashion,,
make up box for girls,Health & Beauty,1082.00,301.00,32.00,7.00,22.46,2.81,3.21,9856.00,948.00,FMCG,,
air buds pro,TV Audio Video Gaming & Wearables,1075.00,410.00,92.00,24.00,222.28,8.89,9.26,2048.00,512.00,EL,,
